,Region,Index,Max_Median_SSP1-2.6,Min_Median_SSP1-2.6,Max_Median_SSP2-4.5,Min_Median_SSP2-4.5,Max_Median_SSP5-8.5,Min_Median_SSP5-8.5
0,0,AT_in,2031.0,,2032.0,,2032.0,
1,0,AT_out,2031.0,,2034.5,,2036.0,
2,0,DI,2031.0,,2032.0,,2032.0,
3,0,ET,2032.5,,2036.0,,2037.0,
4,0,HI,2029.0,,2032.5,,2031.0,
5,0,HMI,2032.0,,2037.0,,2037.0,
6,0,MDI,2031.0,,2032.0,,2032.0,
7,0,NET,2031.5,,2035.0,,2032.0,
8,0,SAT,2032.0,,2037.0,,2038.0,
9,0,sWGBT,2032.5,,2037.0,,2037.0,
10,0,WBT,2031.0,,2031.0,,2030.0,
11,0,WCT,2032.0,,2037.0,,2038.0,
12,1,AT_in,2034.0,,2035.0,,2034.0,
13,1,AT_out,2030.0,,2040.0,,2035.0,
14,1,DI,2029.5,,2034.0,,2031.0,
15,1,ET,2037.5,,2041.0,,2036.0,
16,1,HI,2028.0,,2026.0,,2028.0,
17,1,HMI,2035.0,,2043.0,,2036.0,
18,1,MDI,2024.0,,2026.0,,2026.0,
19,1,NET,2036.0,,2041.0,,2035.0,
20,1,SAT,2035.0,,2043.0,,2040.0,
21,1,sWGBT,2035.0,,2043.0,,2036.0,
22,1,WBT,2028.0,,2028.0,,2028.0,
23,1,WCT,2035.0,,2042.0,,2040.0,
24,2,AT_in,2041.0,,2037.0,,2037.0,
25,2,AT_out,2038.5,,2041.0,,2036.0,
26,2,DI,2035.5,,2036.0,,2034.0,
27,2,ET,2049.5,,2046.0,,2039.0,
28,2,HI,2034.0,,2035.0,,2031.0,
29,2,HMI,2047.5,,2046.0,,2039.5,
30,2,MDI,2033.0,,2034.0,,2031.0,
31,2,NET,2044.5,,2041.0,,2036.0,
32,2,SAT,2047.5,,2046.0,,2041.5,
33,2,sWGBT,2049.0,,2046.0,,2039.5,
34,2,WBT,2032.0,,2033.0,,2031.0,
35,2,WCT,2048.0,,2046.5,,2045.0,
36,3,AT_in,2031.0,,2034.0,,2034.0,
37,3,AT_out,2032.0,,2034.0,,2036.0,
38,3,DI,2033.0,,2035.0,,2032.0,
39,3,ET,2035.0,,2044.0,,2039.0,
40,3,HI,2032.5,,2034.5,,2034.0,
